First_Name,Last_Name,Gender,DOB,Email,Phone_Number,Address,City,State,Zip_Code,Country,Loyalty_Program_ID
Steven,Wilson,Others,2023-01-18,xjoyce@example.net,5954768164,"1698 Misty Landing, New Blakeborough, NM 55604",Melissatown,Iowa,69777,North Macedonia,2
Amanda,Daniels,F,2015-02-12,mpruitt@example.org,2608588859,"75430 Wood Islands, Pierceside, HI 56752",Katherineville,Oklahoma,46467,Christmas Island,1
Samuel,Garza,Not Specified,1970-10-27,andrea87@example.org,0018969538,"7747 Santos Oval, Jessicaport, MP 71081",New Crystalshire,Connecticut,27566,Libyan Arab Jamahiriya,5
David,Ballard,M,2020-02-07,traviselliott@example.net,0013462606,"0051 Mark Hills Suite 334, New Sarahmouth, PR 96093",Lake Shaneburgh,Pennsylvania,78338,Sierra Leone,3
Lisa,Clark,Others,1988-01-18,janicewebb@example.net,9026345874,"19739 Santiago Radial, Port Angela, PA 44770",New Veronicashire,New York,78195,Chile,2
Michael,Frederick,M,1990-10-04,tbryant@example.org,5885635242,"8273 Barron Plaza Apt. 446, Port Sarah, DE 86454",Lake Andrea,Oklahoma,59118,Macao,5
Michelle,Melendez,Others,2009-10-08,poolekatie@example.com,3383901883,"2951 Erin Rapid, New Johnnystad, MO 84979",Morrisville,Delaware,58836,Somalia,5
Walter,Spencer,Others,2015-01-04,vtorres@example.net,1431658920,"843 Crystal Drives, Rhondaton, IN 08464",Stephaniefurt,South Dakota,17820,New Zealand,3
Allison,Hanson,M,2022-05-18,andrew68@example.net,1614900786,"19936 Kelley Spur, South Shane, UT 17911",Morganshire,Minnesota,03324,Georgia,5
Crystal,Russo,Not Specified,2009-04-25,dustin70@example.org,0016032701,"503 Jessica Freeway, Millerbury, NH 15587",West Mariachester,North Carolina,64549,Marshall Islands,3
Patrick,Joseph,F,2008-12-31,jonesmichael@example.com,3617840257,"84745 David Isle, Port Michaelstad, PR 89162",Rhondaport,Illinois,30294,Burkina Faso,1
Anthony,Sullivan,M,2017-08-19,hendersonkathleen@example.com,6317683191,"228 Turner Ridges Suite 206, New Juan, MA 69322",East Brett,Wisconsin,94421,Isle of Man,5
Brittany,Cox,F,1974-04-27,brittanylewis@example.com,3722242583,"5312 Jimenez Highway Suite 307, Paulfort, NH 07316",North Amanda,Texas,47222,Portugal,1
